,Model,Exp.,pr,CO2 (ppm),pr (mm/day),Model_short,tas_land,tas_ocean,Warming_rate_at_crossing,tas_at_crossing,tas_ratio
0,CanESM5,2xCO2,3.5196543583241204e-05,568.6,3.04098136559204,CanESM5,4.172548403465726,2.9972569228568204,,,1.3921223675041785
1,CanESM5,1pctCO2,3.495006350856825e-05,644.976015745768,3.019685487140297,CanESM5,4.209798392132427,2.9768268915514113,0.04938255045201683,3.3017371638737245,1.414189855674959
2,CanESM5,1pctCO2,3.495006350856825e-05,644.976015745768,3.019685487140297,CanESM5,4.173825548811976,2.9757089305364843,0.04625723828626331,3.3017371638737245,1.4026323293856184
3,CanESM5,1pctCO2,3.495006350856825e-05,644.976015745768,3.019685487140297,CanESM5,4.241238909559968,2.9708381035757156,0.04413714981007242,3.3017371638737245,1.4276237080893743
4,CanESM5,1pctCO2,3.502568611399525e-05,651.270188900789,3.0262192802491894,CanESM5,4.209798392132427,2.9768268915514113,0.04938255045201683,3.3017371638737245,1.414189855674959
5,CanESM5,1pctCO2,3.502568611399525e-05,651.270188900789,3.0262192802491894,CanESM5,4.173825548811976,2.9757089305364843,0.04625723828626331,3.3017371638737245,1.4026323293856184
6,CanESM5,1pctCO2,3.502568611399525e-05,651.270188900789,3.0262192802491894,CanESM5,4.241238909559968,2.9708381035757156,0.04413714981007242,3.3017371638737245,1.4276237080893743
7,CanESM5,1pctCO2,3.493191300064672e-05,653.7063976355626,3.0181172832558767,CanESM5,4.209798392132427,2.9768268915514113,0.04938255045201683,3.3017371638737245,1.414189855674959
8,CanESM5,1pctCO2,3.493191300064672e-05,653.7063976355626,3.0181172832558767,CanESM5,4.173825548811976,2.9757089305364843,0.04625723828626331,3.3017371638737245,1.4026323293856184
9,CanESM5,1pctCO2,3.493191300064672e-05,653.7063976355626,3.0181172832558767,CanESM5,4.241238909559968,2.9708381035757156,0.04413714981007242,3.3017371638737245,1.4276237080893743
10,GISS-E2-1-H,2xCO2,3.5581934053310856e-05,568.6,3.074279102206058,GISS,2.875185875304169,2.1064158868008462,,,1.3649659088314723
11,GISS-E2-1-H,1pctCO2,3.5424429937802026e-05,656.5281736435523,3.060670746626095,GISS,2.923744501750207,2.1112489778389545,0.03697020764367648,2.358505343724403,1.3848411686351232
12,HadGEM3-GC31-LL,2xCO2,3.848098630071926e-05,568.6,3.324757216382144,HadGEM3,4.08959215380537,3.109634479092165,,,1.315135968970635
13,HadGEM3-GC31-LL,1pctCO2,3.817498107718145e-05,690.9890295883898,3.2983183650684778,HadGEM3,4.260182381702407,3.0381360024017567,0.05359059717012424,3.400506032395299,1.4022355741594774
14,HadGEM3-GC31-LL,1pctCO2,3.817498107718145e-05,690.9890295883898,3.2983183650684778,HadGEM3,4.276153993816422,3.030533813155216,0.05317257769977366,3.400506032395299,1.4110233567611437
15,HadGEM3-GC31-LL,1pctCO2,3.817498107718145e-05,690.9890295883898,3.2983183650684778,HadGEM3,4.28495173008406,3.0422813354588243,0.048585415120377715,3.400506032395299,1.4084666267190642
16,HadGEM3-GC31-LL,1pctCO2,3.817498107718145e-05,690.9890295883898,3.2983183650684778,HadGEM3,4.23921933341137,3.0436188106609734,0.05505859686705364,3.400506032395299,1.3928220309857895
17,HadGEM3-GC31-LL,1pctCO2,3.815470072248459e-05,685.1762688114203,3.296566142422668,HadGEM3,4.260182381702407,3.0381360024017567,0.05359059717012424,3.400506032395299,1.4022355741594774
18,HadGEM3-GC31-LL,1pctCO2,3.815470072248459e-05,685.1762688114203,3.296566142422668,HadGEM3,4.276153993816422,3.030533813155216,0.05317257769977366,3.400506032395299,1.4110233567611437
19,HadGEM3-GC31-LL,1pctCO2,3.815470072248459e-05,685.1762688114203,3.296566142422668,HadGEM3,4.28495173008406,3.0422813354588243,0.048585415120377715,3.400506032395299,1.4084666267190642
20,HadGEM3-GC31-LL,1pctCO2,3.815470072248459e-05,685.1762688114203,3.296566142422668,HadGEM3,4.23921933341137,3.0436188106609734,0.05505859686705364,3.400506032395299,1.3928220309857895
21,HadGEM3-GC31-LL,1pctCO2,3.821160934017642e-05,676.225285514977,3.3014830469912426,HadGEM3,4.260182381702407,3.0381360024017567,0.05359059717012424,3.400506032395299,1.4022355741594774
22,HadGEM3-GC31-LL,1pctCO2,3.821160934017642e-05,676.225285514977,3.3014830469912426,HadGEM3,4.276153993816422,3.030533813155216,0.05317257769977366,3.400506032395299,1.4110233567611437
23,HadGEM3-GC31-LL,1pctCO2,3.821160934017642e-05,676.225285514977,3.3014830469912426,HadGEM3,4.28495173008406,3.0422813354588243,0.048585415120377715,3.400506032395299,1.4084666267190642
24,HadGEM3-GC31-LL,1pctCO2,3.821160934017642e-05,676.225285514977,3.3014830469912426,HadGEM3,4.23921933341137,3.0436188106609734,0.05505859686705364,3.400506032395299,1.3928220309857895
25,HadGEM3-GC31-LL,1pctCO2,3.815492246904014e-05,682.6581485022729,3.2965853013250683,HadGEM3,4.260182381702407,3.0381360024017567,0.05359059717012424,3.400506032395299,1.4022355741594774
26,HadGEM3-GC31-LL,1pctCO2,3.815492246904014e-05,682.6581485022729,3.2965853013250683,HadGEM3,4.276153993816422,3.030533813155216,0.05317257769977366,3.400506032395299,1.4110233567611437
27,HadGEM3-GC31-LL,1pctCO2,3.815492246904014e-05,682.6581485022729,3.2965853013250683,HadGEM3,4.28495173008406,3.0422813354588243,0.048585415120377715,3.400506032395299,1.4084666267190642
28,HadGEM3-GC31-LL,1pctCO2,3.815492246904014e-05,682.6581485022729,3.2965853013250683,HadGEM3,4.23921933341137,3.0436188106609734,0.05505859686705364,3.400506032395299,1.3928220309857895
29,IPSL-CM6A-LR,2xCO2,3.6078218e-05,568.6,3.117158019449562,IPSL,3.6754150390625,2.797149658203125,,,1.313985838506606
30,IPSL-CM6A-LR,1pctCO2,3.581977943292998e-05,672.8746911969895,3.09482894300515,IPSL,3.809932634050142,2.733946830245543,0.04202931833852063,3.06976318359375,1.3935650071541303
31,MIROC6,2xCO2,3.762132199774148e-05,568.6,3.2504822206048636,MIROC6,2.2875959595060067,1.4934737444385746,,,1.531728273111328
32,MIROC6,1pctCO2,3.749474937441216e-05,620.1094673815005,3.2395463459492104,MIROC6,2.366577118754833,1.5138805496808345,0.03226660614696068,1.8205307855973842,1.5632522125036676
